EX401
Date:,2025/01/17
Time:,11:10:46
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1507,-321.869904,210.374298,433.671661,87.706360,454.849487,99.672752
1508,-320.736115,210.496094,433.716827,87.716148,454.666351,99.427338
1509,-320.127625,210.452820,433.612030,87.719048,454.438599,99.242447
1510,-319.599152,210.502609,433.744293,87.710953,454.273682,99.131767
1511,-318.756958,210.584152,433.923309,87.637207,453.983429,99.165985
1512,-317.846130,210.671082,434.177765,87.614754,453.772736,99.167526
1513,-317.199554,210.910828,434.285309,87.550842,453.501343,99.094307
1514,-316.703888,211.036209,434.449982,87.455276,453.257660,99.014793
1515,-316.371613,211.082932,434.562439,87.356934,453.015930,98.874908
1516,-315.771454,211.304062,434.687042,87.162788,452.680908,98.756187
1517,-315.095001,211.472229,434.857758,86.965080,452.367035,98.660889
1518,-314.667542,211.642700,434.974609,86.796860,451.960785,98.488731
1519,-314.307098,211.814713,435.107025,86.713852,451.716522,98.160370
1520,-313.938751,212.106171,435.258972,86.695503,451.545197,97.923416
1521,-313.689850,212.357285,435.484955,86.389832,451.068237,97.780762
1522,-313.490295,212.583115,435.649719,86.033836,450.700500,97.626053
1523,-313.367004,212.815445,435.827362,85.816345,450.307678,97.552788
1524,-313.282684,212.893661,436.031799,85.646233,449.968262,97.517059
1525,-313.223358,212.977432,436.177429,85.404053,449.632843,97.476242
1526,-313.220520,213.043686,436.288055,85.226349,449.262939,97.475212
1527,-313.207611,213.122284,436.380646,85.059174,449.041107,97.409111
1528,-313.271088,213.123474,436.463684,84.792801,448.781006,97.188095
1529,-313.458649,213.193161,436.508728,84.544708,448.458801,97.277863
1530,-313.694885,213.303543,436.764526,84.369324,448.294281,97.113068
1531,-313.903656,213.428864,436.961182,84.141716,448.078217,97.114990
1532,-314.289215,213.527222,437.202820,83.912880,447.802948,97.188324
1533,-314.733704,213.640472,437.541138,83.801811,447.545258,97.241096
1534,-315.328949,213.570831,437.854980,83.688866,447.250946,97.321274
1535,-315.853699,213.476974,438.152649,83.581154,447.079895,97.366188
1536,-316.491821,213.478210,438.570984,83.507591,446.943665,97.284958
1537,-317.167999,213.653625,438.626404,83.370636,446.750610,97.280472
1538,-318.085052,213.706116,438.880035,83.295898,446.601440,97.218002
1539,-318.901306,213.671936,439.141571,83.258942,446.444916,97.142303
1540,-319.689606,213.575272,439.510773,83.214287,446.351257,97.111244
1541,-320.720703,213.509491,439.661316,83.195282,446.197205,97.120186
1542,-321.613800,213.717285,439.681885,83.204788,446.172272,96.966652
1543,-322.678040,213.802658,439.672882,83.267227,446.122375,96.853065
1544,-323.896790,213.555481,440.135468,83.273651,446.089417,96.609093
1545,-324.724213,213.397552,440.456696,83.324265,446.050049,96.450630
1546,-325.781311,213.431686,440.625458,83.330582,446.063141,96.360657
1547,-326.851929,213.635101,440.788879,83.398010,445.967041,96.187485
1548,-327.774872,213.711273,441.092957,83.358002,445.809387,96.157494
1549,-328.774750,213.695526,441.488037,83.335800,445.758759,95.891502
1550,-329.543030,213.881058,441.758606,83.294464,445.638702,95.769272
1551,-330.184448,213.907654,442.093414,83.300842,445.444427,95.721077
1552,-331.303986,214.034027,442.192993,83.218254,445.256042,95.635506
1553,-332.357941,214.357300,442.695343,83.196098,445.165344,95.518906
1554,-332.909729,214.323700,443.045715,83.127388,445.037964,95.431160
1555,-333.762238,214.574280,443.340332,83.115273,444.917328,95.441956
1556,-334.716644,214.582367,443.788635,83.131012,444.739960,95.367683
1557,-335.477875,214.750412,444.273712,83.071144,444.558563,95.276337
1558,-336.492737,215.032730,444.743988,83.064056,444.424042,95.313187
1559,-337.249695,215.272903,445.433899,83.014442,444.259064,95.295250
1560,-337.796631,215.484161,446.081268,82.967194,444.073822,95.190399
1561,-338.738281,215.625214,446.718506,82.886604,443.865784,95.094513
1562,-339.737274,215.869003,447.347931,82.806786,443.630310,95.075172
1563,-340.415833,216.369019,447.971832,82.785477,443.455719,94.929893
1564,-341.232971,216.803574,448.622955,82.759430,443.368439,94.798286
1565,-342.187836,217.139847,449.508087,82.834389,443.249695,94.499008
1566,-342.734619,217.412155,449.919098,82.820145,443.046783,94.265671
1567,-344.084869,217.751114,450.771271,82.769981,442.828461,94.193008
1568,-344.790588,218.233994,451.441681,82.690666,442.581146,94.014229
1569,-345.438995,218.680435,452.418152,82.621269,442.331818,93.903206
1570,-346.645386,219.058533,453.370331,82.617821,441.974213,93.845955
1571,-347.469086,219.480042,454.046295,82.574356,441.637390,93.734802
1572,-348.341187,220.242157,454.999481,82.396423,441.369690,93.459755
1573,-349.325714,220.772217,455.783447,82.129013,441.062805,93.108772
1574,-350.023315,221.254013,456.585175,81.998802,440.830902,92.897743
1575,-350.848724,222.005661,457.649841,81.821609,440.503387,92.571022
1576,-351.768982,222.402863,458.638245,81.499443,439.963654,92.309448
1577,-352.428406,222.974258,459.577332,81.200310,439.519257,92.117531
1578,-353.430420,223.786942,460.552582,80.926079,438.986908,91.687111
1579,-354.153046,224.370697,461.300598,80.612930,438.546509,91.508926
1580,-355.014618,224.543472,462.445862,80.209290,438.140869,90.992065
1581,-355.781799,225.281860,463.575317,79.875198,437.967743,90.564629
1582,-356.615784,225.732651,464.574585,79.175072,437.322693,90.509026
1583,-357.571808,226.265060,465.201263,78.669403,436.514954,90.591118
1584,-358.620331,226.880066,466.323334,78.369270,436.050262,90.398415
1585,-359.897369,227.165100,467.246429,77.891884,435.699097,89.901855
1586,-360.863007,227.634857,468.213196,77.411766,435.376862,89.529907
1587,-361.913605,228.519882,469.348907,76.928261,434.808502,89.410713
1588,-363.140045,229.131744,470.739899,76.468132,434.098816,89.198097
1589,-364.453308,229.569809,472.146240,76.067032,433.718994,88.823242
1590,-365.880188,230.036041,473.810150,75.582901,433.478973,88.300476
1591,-367.094086,230.914963,475.635895,75.241730,433.037018,88.213913
1592,-368.470093,231.554138,477.265778,74.647156,432.221405,88.406654
1593,-369.921936,232.519348,479.215668,74.132370,431.634125,88.343430
1594,-371.201630,233.384979,481.439209,73.903908,431.212738,88.141747
1595,-372.565674,234.035553,483.436890,73.481163,430.923065,87.776108
1596,-373.959564,234.958923,485.605194,73.114662,430.622772,87.266594
1597,-375.134125,235.661987,487.805237,72.772034,430.230042,86.811531
1598,-376.651642,236.671524,489.713074,72.408249,429.645447,86.561073
1599,-378.022217,237.388046,491.750031,72.022842,429.226807,86.157295
1600,-379.173737,238.485596,493.625275,71.717278,428.720581,85.978928
1601,-380.529877,239.104599,495.498016,71.459732,428.281128,85.624542
1602,-381.783325,240.050980,497.073761,71.161583,427.987152,85.488983
1603,-383.133575,241.089905,498.663605,70.885277,427.578583,85.178116
1604,-383.915466,241.661469,500.122986,70.308495,426.789429,85.056465
1605,-385.197235,242.703262,501.585815,70.064713,426.204712,84.753746
1606,-386.280548,243.406708,502.589905,69.797325,425.594879,84.484711
1607,-387.620575,244.029556,503.953857,69.638985,425.384583,84.173843
1608,-388.762299,244.885056,504.944275,69.343010,425.104797,83.764526
1609,-389.810547,245.315033,506.034668,69.090645,424.878632,83.619530
1610,-390.931793,246.405762,507.021851,68.779854,424.243103,83.772125
1611,-392.110687,247.047165,507.859619,68.388268,423.715881,83.872620
1612,-393.100433,247.212189,508.543213,68.022667,423.324402,83.727119
1613,-394.282898,248.172287,509.377655,67.741104,423.084991,83.454857
1614,-395.419830,248.626099,510.275574,67.548859,422.938660,83.125443
1615,-396.288696,249.168243,510.939575,67.342697,422.712402,82.967484
1616,-397.319305,249.984451,511.461426,67.186340,422.591095,82.763512
1617,-398.228333,250.498657,512.168945,67.142151,422.382141,82.569794
1618,-399.244354,250.822662,512.806274,67.085373,422.119751,82.416321
1619,-400.254211,251.264374,513.402771,66.955460,421.895294,82.161102
1620,-401.334625,251.675400,513.870300,66.851242,421.682709,81.911186
1621,-401.926331,251.937042,514.166504,66.763458,421.493195,81.699219
1622,-402.650330,252.676422,514.962524,66.723900,421.429657,81.529945
1623,-403.317108,253.155792,515.348938,66.641258,421.228638,81.475647
1624,-404.249939,253.485764,515.869812,66.579315,421.206024,81.319466
1625,-404.830841,253.773834,516.398132,66.525391,421.127686,81.192024
1626,-405.616425,254.093903,517.045654,66.463173,421.088684,81.151634
1627,-406.157227,254.500671,517.700195,66.409195,421.030029,81.082283
1628,-406.744629,254.687286,518.211487,66.369080,420.926880,81.109230
1629,-407.195251,254.902008,518.617981,66.338371,420.923096,81.025391
1630,-407.706970,255.211670,519.084778,66.262733,420.871307,80.962532
1631,-408.288757,255.514465,519.488098,66.238640,420.926758,80.903496
1632,-408.587158,255.831360,519.658936,66.212433,421.013184,80.812798
1633,-408.964874,256.241028,520.030334,66.122597,420.974762,80.713097
