EX301
Date:,2000/01/01
Time:,00:00:00
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,KNE_R_X,KNE_R_Y,KNE_R_Z,HIP_L_X,HIP_L_Y,HIP_L_Z,KNE_L_X,KNE_L_Y,KNE_L_Z
1203,-8.333879,591.428345,87.778870,-252.185806,588.191833,389.307343,7.006337,213.150589,56.245575,-241.658340,180.827896,376.823212
1204,-8.247356,591.475159,87.726250,-252.156479,588.473267,389.251495,7.017502,213.127716,56.196514,-241.578949,180.272430,376.760986
1205,-8.198185,591.443787,87.693962,-252.171188,588.807800,389.190765,7.092259,213.077286,56.176796,-241.373962,179.826172,376.679321
1206,-8.135033,591.483765,87.628838,-252.192642,589.163208,389.164185,7.142147,213.074402,56.058155,-241.139008,179.560852,376.603363
1207,-8.152224,591.516174,87.574074,-252.142075,589.499939,389.109955,7.144135,213.070724,55.928120,-240.975861,179.122162,376.562836
1208,-8.115039,591.477295,87.544884,-252.087662,589.904053,389.014191,7.168383,213.039932,55.781879,-240.879364,178.730713,376.479187
1209,-8.056263,591.520325,87.510056,-251.945389,590.319153,388.893890,7.209088,213.030426,55.710506,-240.750793,178.240204,376.535126
1210,-8.037317,591.525269,87.418373,-251.858704,590.764587,388.779968,7.235731,213.041763,55.576130,-240.596725,177.948715,376.540649
1211,-8.016042,591.516113,87.325836,-251.740677,591.112366,388.706360,7.255220,213.056427,55.411053,-240.493210,177.423737,376.551270
1212,-8.008061,591.543030,87.268318,-251.569550,591.421570,388.587402,7.294573,213.048981,55.240543,-240.392258,177.015900,376.517120
1213,-7.977114,591.566284,87.137451,-251.675400,591.742188,388.700256,7.284268,212.979156,55.135674,-240.185699,176.573685,376.359772
1214,-7.909678,591.601257,87.081070,-251.598633,592.102173,388.615753,7.297451,213.021164,55.048836,-240.021820,176.153976,376.269806
1215,-7.904514,591.643066,87.028091,-251.518677,592.592102,388.545135,7.296491,213.009430,54.957954,-239.826324,175.726105,376.297394
1216,-7.860351,591.687012,86.914909,-251.500549,593.089478,388.439575,7.217948,213.007874,54.836796,-239.420242,175.188049,376.219086
1217,-7.838249,591.804626,86.853043,-251.485916,593.525452,388.459198,7.173123,213.029587,54.715530,-239.151749,174.652802,376.101746
1218,-7.792971,591.882446,86.764610,-251.437576,594.083374,388.471039,7.162382,213.007904,54.604759,-239.030365,174.284485,375.980072
1219,-7.473924,591.722351,86.268257,-251.456955,594.594482,388.547241,7.173444,213.002365,54.577293,-239.008606,174.051910,375.933044
1220,-7.574109,591.935913,86.410950,-251.281021,594.972656,388.417725,7.245382,212.963593,54.537834,-238.918762,173.822891,375.887451
1221,-7.497252,592.034729,86.331406,-251.218277,595.200073,388.321838,7.272681,212.941010,54.484604,-238.735352,173.231262,375.856628
1222,-7.414334,592.135986,86.205696,-251.108459,595.534058,388.267853,7.288631,212.948135,54.430496,-238.620834,172.673355,375.824860
1223,-7.380257,592.207336,86.136650,-250.904770,596.019287,388.246643,7.343117,212.957718,54.364178,-238.350540,172.127289,375.735809
1224,-7.314975,592.304810,86.018265,-250.647324,596.513855,388.271088,7.359643,212.994949,54.306797,-238.094223,171.858627,375.668396
1225,-7.251553,592.368958,85.933395,-250.517990,596.878723,388.263184,7.385491,213.003265,54.249702,-237.968964,171.455414,375.604279
1226,-7.173580,592.349854,85.830986,-250.424652,597.291626,388.261871,7.418486,213.021500,54.225155,-237.802185,171.166275,375.484680
1227,-7.050294,592.512207,85.678154,-250.399017,597.674194,388.202301,7.482013,213.026810,54.118626,-237.623260,170.820999,375.414185
1228,-7.028773,592.601501,85.710396,-250.315292,597.965637,388.078247,7.592914,213.089890,54.002949,-237.454865,170.466568,375.356018
1229,-6.973775,592.630859,85.602829,-250.234192,598.294189,388.005585,7.604664,213.096985,53.916618,-237.336304,169.975266,375.387939
1230,-6.933491,592.703918,85.516899,-250.161377,598.562012,387.924713,7.659473,213.152344,53.830193,-237.225800,169.618774,375.435303
1231,-6.903843,592.731934,85.453362,-250.072174,598.784302,387.914215,7.740401,213.149673,53.780815,-237.182938,169.388214,375.427368
1232,-6.830368,592.786560,85.421379,-249.931824,599.058105,387.879211,7.719696,213.149460,53.750011,-237.077759,169.192368,375.342377
1233,-6.827453,592.774902,85.340187,-249.730423,599.316101,387.771667,7.826797,213.209854,53.636646,-237.023605,168.919785,375.245850
1234,-6.771831,592.798645,85.251472,-249.577057,599.545410,387.715698,7.881764,213.197830,53.542343,-236.899185,168.580887,375.087097
1235,-6.766589,592.827576,85.210472,-249.432068,599.765564,387.708435,7.963436,213.222794,53.441151,-236.734619,168.316376,374.958221
1236,-6.681747,592.852905,85.170502,-249.306366,599.925720,387.690033,8.038423,213.193130,53.400959,-236.596085,168.057709,374.935883
1237,-6.644735,592.851257,85.153305,-249.240463,600.038086,387.741730,8.120742,213.139847,53.363670,-236.464462,167.750397,375.005920
1238,-6.649471,592.870789,85.100548,-249.182602,600.098511,387.746918,8.184606,213.101486,53.411888,-236.308868,167.406265,375.062439
1239,-6.578599,592.885132,85.086960,-249.146606,600.156738,387.757050,8.223427,213.101578,53.360027,-236.212814,167.163147,375.033905
