EX104
Date:,2025/01/17
Time:,12:08:01
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HIP_R_X,HIP_R_Y,HIP_R_Z,ILIAC_R_X,ILIAC_R_Y,ILIAC_R_Z,ILIAC_L_X,ILIAC_L_Y,ILIAC_L_Z,HIP_L_X,HIP_L_Y,HIP_L_Z
1157,-212.245621,475.347748,430.944092,-269.140869,385.222778,503.654755,-269.210968,145.385254,496.059265,-198.115570,59.987705,428.745911
1158,-212.210678,475.329956,430.950928,-269.319641,385.198364,503.572662,-269.432190,145.454712,495.990021,-198.209503,59.967331,428.781464
1159,-212.224915,475.344421,431.016022,-269.442200,385.203094,503.483612,-269.574463,145.461853,495.877655,-198.238098,59.949654,428.822021
1160,-212.183472,475.316528,430.969940,-269.532990,385.235748,503.411621,-269.728638,145.480804,495.823730,-198.316360,59.945366,428.851868
1161,-212.103821,475.281982,431.015991,-269.549927,385.225281,503.344543,-269.842651,145.479065,495.776154,-198.345764,59.870365,428.864014
1162,-212.059753,475.250549,431.047760,-269.597290,385.247772,503.292633,-269.867737,145.486664,495.720367,-198.366226,59.858963,428.868317
1163,-212.030777,475.237305,431.065369,-269.618927,385.211792,503.274292,-269.930725,145.458740,495.682220,-198.389908,59.818394,428.904449
1164,-211.939636,475.224457,431.031097,-269.605225,385.182831,503.266846,-269.998566,145.421036,495.646698,-198.430756,59.780659,428.909424
1165,-211.926056,475.242035,431.059296,-269.604492,385.182587,503.266571,-270.025024,145.387817,495.620026,-198.427383,59.755634,428.941803
1166,-211.880875,475.123840,431.095551,-269.547974,385.125946,503.254761,-270.059174,145.319916,495.658051,-198.434631,59.656239,429.011230
1167,-211.833572,475.104309,431.130310,-269.500610,385.080994,503.260498,-270.075806,145.319229,495.619354,-198.439377,59.620197,429.026428
1168,-211.915115,475.096039,431.215698,-269.465759,385.039215,503.263367,-270.113037,145.291260,495.634766,-198.435959,59.586029,429.025848
1169,-211.884048,475.077789,431.226776,-269.465424,385.038757,503.263153,-270.132996,145.284943,495.604492,-198.472061,59.536251,429.011536
1170,-211.825531,475.012756,431.214630,-269.429626,385.040222,503.270020,-270.115387,145.239182,495.645660,-198.495316,59.475872,429.052246
1171,-211.805191,475.016907,431.266754,-269.391754,385.006866,503.253448,-270.111481,145.230392,495.621582,-198.485962,59.472080,429.016663
1172,-211.831146,475.016205,431.305145,-269.358704,384.999878,503.265259,-270.107056,145.220230,495.647980,-198.501984,59.391624,429.038330
1173,-211.814484,474.985382,431.292450,-269.344543,384.981903,503.278870,-270.108765,145.175034,495.607941,-198.463989,59.385075,429.031097
1174,-211.850662,474.946930,431.318542,-269.345703,384.994751,503.277252,-270.115326,145.165482,495.572571,-198.471939,59.349564,429.026520
1175,-211.854141,474.947113,431.318604,-269.380951,384.956329,503.269989,-270.100830,145.152283,495.605103,-198.444275,59.336063,428.994019
1176,-211.902756,474.944672,431.342865,-269.371613,384.969208,503.292755,-270.108246,145.111237,495.583466,-198.431335,59.330944,429.020447
1177,-211.944656,474.948547,431.330994,-269.377014,384.956970,503.291565,-270.098053,145.084915,495.589539,-198.392456,59.326664,429.012115
1178,-211.958618,474.973907,431.284882,-269.381104,384.964813,503.291199,-270.118591,145.109940,495.572968,-198.363724,59.351696,428.989746
1179,-211.995026,474.957886,431.290863,-269.396210,385.022278,503.353333,-270.089935,145.142380,495.614655,-198.359299,59.353809,429.009308
1180,-212.005173,474.923157,431.260834,-269.383942,384.996368,503.347992,-270.058411,145.115891,495.579895,-198.353394,59.371799,428.978577
1181,-212.033356,474.944885,431.275513,-269.367310,385.007507,503.360718,-270.053650,145.114258,495.588287,-198.357635,59.318996,429.006683
1182,-212.090424,475.011536,431.285004,-269.380463,385.056488,503.353241,-270.058990,145.112595,495.567596,-198.348053,59.392082,428.967072
1183,-212.114502,474.968536,431.225525,-269.360474,385.072937,503.299713,-270.046997,145.099548,495.566956,-198.321487,59.406918,428.948395
1184,-212.088943,474.922913,431.230560,-269.258179,385.022583,503.294983,-269.999115,145.102280,495.629700,-198.283447,59.388683,428.898804
1185,-212.120697,474.932068,431.190613,-269.255615,385.021332,503.294403,-269.916809,145.092361,495.615051,-198.255539,59.463161,428.833832
1186,-212.167511,474.979309,431.161285,-269.250000,385.092865,503.330414,-269.837494,145.164856,495.592407,-198.254807,59.490711,428.774078
1187,-212.212570,474.940125,431.025421,-269.175446,385.080170,503.317047,-269.713287,145.140915,495.623810,-198.264511,59.440239,428.748474
1188,-212.181808,474.915436,431.003448,-268.992798,385.123047,503.255157,-269.590210,145.140411,495.630493,-198.198334,59.459141,428.718109
1189,-212.166183,474.863495,430.955597,-268.809662,385.146423,503.305176,-269.418579,145.065628,495.680603,-198.170654,59.469318,428.688812
1190,-212.190872,474.862610,430.910370,-268.631805,385.150757,503.338379,-269.226227,145.082199,495.657471,-198.085480,59.497322,428.640717
1191,-212.223877,474.830688,430.826996,-268.452789,385.178741,503.434753,-269.044464,145.040176,495.662445,-198.031845,59.533115,428.553558
1192,-212.174866,474.767090,430.759796,-268.138153,385.212708,503.438141,-268.831116,144.973511,495.763245,-197.935745,59.556335,428.468781
1193,-212.172211,474.696655,430.712067,-267.905731,385.151428,503.480042,-268.576294,144.969315,495.859253,-197.850784,59.585506,428.345734
1194,-212.170883,474.643616,430.642883,-267.713196,385.129974,503.476196,-268.340790,144.999252,495.931763,-197.754654,59.588562,428.287567
1195,-212.091904,474.630524,430.583099,-267.498260,385.089722,503.476868,-268.067657,144.979736,495.985229,-197.697464,59.556896,428.185364
1196,-212.006744,474.603516,430.514465,-267.235260,385.060944,503.496582,-267.802338,145.012238,496.063507,-197.577042,59.516491,428.105743
1197,-211.884293,474.567932,430.460968,-266.886993,384.997955,503.529175,-267.481689,144.958160,496.116974,-197.460510,59.451767,428.067535
1198,-211.769974,474.571228,430.391632,-266.555206,384.936493,503.553497,-267.108337,144.893661,496.167480,-197.349350,59.394310,428.087158
1199,-211.677658,474.568085,430.327789,-266.253967,384.954559,503.629547,-266.537445,144.962509,496.084686,-197.234634,59.376648,428.054169
1200,-211.572342,474.521667,430.247742,-265.818604,384.994995,503.671753,-266.024750,144.984314,496.170990,-197.103745,59.334972,427.998474
1201,-211.492920,474.444702,430.197388,-265.269928,385.056702,503.593018,-265.617950,144.925995,496.164063,-196.987396,59.292660,428.060150
1202,-211.431122,474.462158,430.151428,-264.710022,385.064850,503.615845,-265.105499,144.917465,496.037109,-196.783920,59.351048,428.049103
1203,-211.337219,474.455017,430.114105,-264.271881,385.041840,503.617035,-264.646881,144.880051,496.043060,-196.423386,59.462574,427.918945
1204,-211.218613,474.407867,430.060394,-263.932190,384.931335,503.640411,-264.070129,144.798660,496.079681,-196.088776,59.607277,427.777863
1205,-211.135910,474.384979,429.965668,-263.534180,384.935974,503.668945,-263.577789,144.747559,496.083618,-195.734192,59.771206,427.671570
1206,-210.977386,474.369232,429.907745,-262.926086,385.020447,503.640198,-263.150635,144.718018,496.203156,-195.489334,59.890713,427.601288
1207,-210.912949,474.387878,429.861267,-262.346313,385.022644,503.585754,-262.636108,144.716751,496.429352,-195.304733,60.072174,427.516510
1208,-210.826752,474.354797,429.790192,-261.976013,384.916016,503.613312,-262.055420,144.850754,496.623779,-195.171707,60.226818,427.484222
1209,-210.720291,474.316040,429.689117,-261.467377,384.830292,503.805084,-261.429321,144.828857,496.729156,-195.091553,60.281288,427.482941
1210,-210.662094,474.252991,429.589508,-261.067139,384.856262,504.035645,-260.823822,144.926147,496.778778,-194.989059,60.339245,427.529999
1211,-210.581085,474.151215,429.476776,-260.604401,384.887573,504.312531,-260.334351,144.873718,496.982910,-194.868103,60.426239,427.620361
1212,-210.515625,474.043671,429.394012,-259.911804,384.972565,504.458008,-259.924133,144.891235,497.235748,-194.726288,60.576401,427.666260
1213,-210.360672,473.923889,429.278687,-259.251862,385.002563,504.398254,-259.421021,144.941681,497.276459,-194.550613,60.670555,427.686615
1214,-210.278549,473.773438,429.176819,-258.793121,384.916595,504.342834,-258.695374,144.960129,497.318695,-194.336426,60.787201,427.702759
1215,-210.156570,473.678772,429.048920,-258.481354,384.815826,504.257172,-257.913696,144.923279,497.359222,-193.981400,60.860435,427.612061
1216,-209.985107,473.563812,428.953247,-258.120605,384.746063,504.264496,-257.373688,144.832077,497.449127,-193.614807,60.910839,427.467926
