EX402
Date:,2025/01/17
Time:,11:16:56
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
Field#,HEAD_X,HEAD_Y,HEAD_Z,PELVIS_X,PELVIS_Y,PELVIS_Z
1156,-421.627289,145.425812,385.379333,70.768898,390.141663,105.764320
1157,-420.291321,146.064728,387.592163,70.650444,390.970123,105.591606
1158,-418.716339,146.705841,390.208771,70.513115,391.425995,105.631638
1159,-417.927063,147.552536,392.881775,70.356911,391.761841,106.257652
1160,-416.116211,147.998917,395.944305,70.159859,392.431488,106.528687
1161,-414.745331,148.252823,398.980530,70.100082,392.888977,106.672096
1162,-412.803955,148.464447,402.062683,69.953232,393.301758,106.657005
1163,-411.615692,148.509583,405.449066,69.658463,393.974487,106.354568
1164,-409.886292,148.380554,408.458282,69.179932,394.944427,106.063873
1165,-409.024902,148.553543,411.654053,68.973030,395.778259,105.948616
1166,-408.110626,148.778793,413.848572,69.000046,396.163239,106.173889
1167,-407.459198,148.925400,415.690826,69.129013,396.289154,106.637154
1168,-406.742157,149.452179,416.888336,69.429939,396.481079,107.227440
1169,-406.700165,150.193298,417.058502,69.659073,396.459747,107.662025
1170,-406.249115,150.958069,417.658875,69.692390,396.757233,107.821075
1171,-405.941437,151.584396,417.890900,69.826622,397.573822,107.697449
1172,-405.844543,151.978348,417.828400,70.106705,398.408844,107.610672
1173,-405.680145,152.345184,417.727661,70.361168,398.780121,107.824043
1174,-405.172211,152.473236,418.021454,70.533562,399.378845,108.601982
1175,-405.188416,152.958832,417.571594,70.795654,399.675507,109.152054
1176,-405.487640,153.693863,416.782013,71.017639,399.975098,109.582878
1177,-405.455994,153.950500,416.648346,71.157272,400.058441,109.855736
1178,-405.276642,154.100693,416.670227,71.420280,400.586853,109.776642
1179,-405.262817,154.401474,416.403564,71.555405,401.215057,109.472832
1180,-405.386261,154.637726,416.105316,71.648438,401.664673,109.426384
