BLOC303
Date:,2023/12/07
Time:,15:41:20
Type:,ShareSpace
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,SHO1,,,ELB1,,,HAN1,,,SHO2,,,ELB2,,,HAN2,,,SHO3,,,ELB3,,,HAN3,,,SHO4,,,ELB4,,,HAN4,,,SHO5,,,ELB5,,,HAN5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,-851.837524,1025.188232,1431.888550,-691.335876,781.938965,1291.076782,-435.409363,675.597046,1500.111572,197.355988,1208.006958,1259.690674,73.922516,984.805054,1213.982422,66.305061,741.288086,1354.142456,1057.681396,467.107666,1311.343140,782.256531,513.387329,1215.392334,440.903076,414.694977,1369.937500,782.558594,-718.483032,1323.353638,712.231140,-444.605255,1253.847900,525.602173,-172.832489,1353.167725,-702.035950,-355.931213,1342.038818,-435.659607,-208.939087,1245.695557,-306.459106,48.151134,1412.855713
33,-851.959351,1025.091919,1431.959229,-692.337402,782.113770,1289.881348,-437.106873,677.417664,1500.602783,197.561264,1207.263550,1259.971558,75.334549,983.448608,1215.485229,64.312820,738.705261,1354.909912,1057.423218,466.873474,1311.509277,781.504578,512.761841,1216.211548,439.673584,413.954987,1369.974854,781.674133,-718.572388,1323.985718,709.634338,-444.275665,1258.001465,525.166870,-166.664032,1349.192627,-701.558044,-355.180664,1342.242920,-435.477386,-206.714645,1247.660034,-300.829437,50.744938,1411.006348
34,-852.097717,1024.943359,1431.979980,-693.251099,782.278320,1288.161621,-438.980194,679.630798,1500.968384,197.861877,1206.667236,1260.120728,76.407913,982.223511,1216.879272,63.115757,736.528076,1355.569214,1057.261475,466.772430,1311.659790,780.983887,512.223877,1216.933716,439.060211,413.355164,1370.191040,780.740234,-718.848267,1324.817139,707.460327,-443.919403,1261.734619,525.016968,-161.128723,1345.285156,-701.187195,-354.417358,1342.492065,-435.154083,-204.905716,1249.755127,-296.099548,53.378777,1409.243042
35,-852.269653,1024.822144,1432.035156,-694.367249,782.453552,1286.642090,-441.218597,682.159302,1501.565186,198.029800,1206.096313,1260.318726,77.435486,981.150513,1218.066040,62.463326,734.828369,1356.346558,1057.120361,466.691925,1311.803223,780.679565,511.905823,1217.547363,438.362366,412.558197,1370.655640,780.167175,-718.999512,1325.583984,705.483704,-443.716278,1264.966309,525.356201,-156.566727,1341.374634,-700.785217,-353.754547,1342.748291,-434.896759,-203.166702,1251.429199,-292.169250,55.834419,1407.755127
36,-852.346375,1024.641357,1432.067871,-695.641602,782.833252,1284.764526,-443.482208,684.837708,1502.181641,198.286301,1205.602783,1260.508667,78.320206,980.096558,1219.004150,62.207218,733.387207,1357.256958,1056.869995,466.643646,1311.913330,780.252869,511.553741,1217.935425,438.105804,411.746826,1371.319702,779.514099,-719.251404,1326.200806,703.864258,-443.506927,1267.640747,525.985107,-152.431351,1338.075562,-700.331848,-353.155396,1342.953125,-434.660126,-201.469421,1252.831177,-288.920929,58.030960,1406.474731
37,-852.470398,1024.479492,1432.103882,-696.870667,783.093994,1282.790649,-445.936401,687.826233,1502.983154,198.483459,1205.213501,1260.594604,79.092529,979.337036,1220.021484,62.097759,732.234070,1358.004517,1056.602295,466.575134,1312.053345,779.759277,511.212006,1218.273438,438.202118,411.052704,1371.853882,778.943909,-719.470581,1327.065674,702.355652,-443.548645,1269.866455,526.600037,-149.214096,1335.052368,-699.897034,-352.621979,1343.118164,-434.441345,-200.493622,1254.139038,-286.076965,59.707569,1405.278564
38,-852.613892,1024.281128,1432.037109,-698.126282,783.671509,1280.749390,-448.544891,691.045288,1503.649902,198.622665,1204.875244,1260.613403,79.878006,978.596985,1220.784302,62.680069,731.205688,1358.744385,1056.516724,466.552155,1312.106934,779.755615,511.021973,1218.625488,438.453461,409.836884,1372.438232,778.495850,-719.437439,1327.640869,701.162842,-443.586517,1271.353760,527.648193,-146.586838,1332.594849,-699.446899,-351.958679,1343.291260,-434.007507,-199.304520,1255.086182,-283.457428,60.790501,1404.550903
39,-852.726318,1024.135010,1431.925537,-699.800293,783.811768,1279.023804,-451.306580,694.391907,1504.360596,198.794434,1204.555908,1260.515259,80.407623,978.132019,1221.352783,63.093800,730.258911,1359.319458,1056.534790,466.530823,1312.090332,779.830688,510.897369,1218.801270,438.696320,409.353607,1373.208496,777.986450,-719.648132,1328.197998,700.338989,-443.761139,1272.135742,529.072266,-144.080948,1330.544556,-699.013245,-351.512573,1343.481445,-433.739868,-198.375336,1255.754761,-281.111664,61.434551,1403.907593
40,-852.765686,1023.940857,1431.782104,-701.319824,784.203796,1276.994385,-454.178375,698.065491,1505.178955,198.895340,1204.365356,1260.475952,80.991402,977.811340,1222.109131,63.789471,729.202209,1359.805664,1056.515747,466.550415,1312.142090,779.885315,510.887024,1218.949341,438.977203,408.700348,1373.933350,777.366821,-719.824158,1328.805664,699.904358,-443.837891,1272.285522,530.892578,-141.804962,1328.757446,-698.845642,-351.024994,1343.459106,-433.519897,-197.850204,1256.031006,-279.114075,61.655781,1403.438599
41,-852.850098,1023.729187,1431.637451,-702.456177,784.997253,1274.654297,-457.183197,701.959045,1506.040039,198.955566,1204.287354,1260.430786,81.600067,977.441406,1222.757446,64.715324,728.038086,1360.132568,1056.432983,466.546906,1312.138916,779.706055,510.516327,1218.721191,439.529083,408.060242,1374.648193,776.949402,-719.843628,1329.213135,699.586121,-443.990784,1271.950684,532.826050,-140.532822,1327.524292,-698.601135,-350.599945,1343.643799,-433.191254,-197.733826,1256.048828,-277.611237,61.591946,1403.320068
