Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
320,0,-0.506834,-0.673197,2.431808,2.857840,120.201370,679.254944
321,0,-0.504473,-0.692845,2.431905,2.136731,117.657715,679.401367
322,0,-0.501457,-0.711718,2.438351,0.985475,114.244011,678.747803
323,0,-0.505398,-0.735937,2.448372,-0.664019,110.249680,677.586487
324,0,-0.507823,-0.784806,2.443704,-2.518243,105.934746,676.415283
325,0,-0.516242,-0.823570,2.445518,-4.418310,102.513992,675.368408
326,0,-0.522325,-0.839789,2.440140,-5.282720,101.467110,674.943298
327,0,-0.520524,-0.825207,2.440946,-5.181269,102.867004,675.146912
328,0,-0.509954,-0.782619,2.446479,-4.162202,106.020447,675.845703
329,0,-0.499340,-0.740369,2.444478,-2.623172,109.781281,676.891296
330,0,-0.499337,-0.709860,2.442627,-1.469329,112.785660,677.940186
331,0,-0.500334,-0.701068,2.440627,-0.996068,114.009857,678.748291
332,0,-0.505490,-0.718822,2.433224,-1.019331,113.437569,679.362915
333,0,-0.504075,-0.731365,2.439400,-1.519818,111.462570,679.360657
334,0,-0.506129,-0.741725,2.450698,-2.287956,108.597298,678.630493
335,0,-0.512349,-0.756539,2.468907,-3.644763,105.033470,677.068542
336,0,-0.508802,-0.803982,2.462221,-5.190649,100.902527,675.832825
337,0,-0.520485,-0.860388,2.453309,-6.826584,97.407265,675.014954
338,0,-0.524527,-0.883824,2.441366,-7.936169,95.868065,674.534668
339,0,-0.521921,-0.872284,2.442214,-7.974375,96.521950,674.698792
340,0,-0.514005,-0.833928,2.451733,-7.329492,98.670311,675.242737
341,0,-0.502641,-0.799197,2.456133,-6.525474,101.242859,675.982666
342,0,-0.497653,-0.766980,2.460332,-5.962924,103.011101,676.663147
343,0,-0.499290,-0.758178,2.461067,-5.872837,103.443954,677.285400
344,0,-0.501401,-0.762596,2.467825,-6.302003,102.164032,677.656433
345,0,-0.502878,-0.775489,2.474001,-7.099512,99.523293,677.587219
346,0,-0.500578,-0.794090,2.483413,-8.247140,95.984619,677.143433
347,0,-0.499084,-0.823049,2.491313,-9.621396,91.883965,676.493896
348,0,-0.503864,-0.853077,2.496675,-11.087639,87.946747,675.654236
349,0,-0.505676,-0.880791,2.494053,-12.227819,85.363007,675.078796
350,0,-0.505667,-0.887008,2.492920,-12.896519,84.874641,674.828125
351,0,-0.498009,-0.863832,2.495908,-12.798754,86.503120,675.047913
352,0,-0.494263,-0.830197,2.498899,-11.944980,89.698639,675.799194
353,0,-0.489927,-0.794095,2.499365,-10.991796,93.089531,676.647888
354,0,-0.489524,-0.768396,2.497687,-10.295781,95.631546,677.513611
355,0,-0.490139,-0.766025,2.493446,-10.034913,96.736816,678.253845
356,0,-0.493809,-0.772793,2.491999,-10.107707,96.357430,678.629822
357,0,-0.498118,-0.783234,2.494486,-10.379734,94.876205,678.542664
358,0,-0.500631,-0.792625,2.503949,-10.961560,92.405418,677.858154
359,0,-0.497911,-0.808565,2.513804,-11.877868,89.216728,676.702454
360,0,-0.502747,-0.849049,2.508132,-12.801886,85.953484,675.915283
361,0,-0.501846,-0.880164,2.506637,-13.901072,83.546188,675.061340
362,0,-0.498426,-0.895898,2.498585,-14.217952,83.155960,674.877197
363,0,-0.500435,-0.872023,2.505811,-13.950381,84.563423,675.010132
364,0,-0.489383,-0.835288,2.510958,-13.080944,87.115181,675.764648
365,0,-0.487362,-0.800148,2.508833,-12.035150,89.833992,676.657227
366,0,-0.486454,-0.777796,2.511059,-11.494740,91.590103,677.498474
367,0,-0.487023,-0.777591,2.510070,-11.452053,91.860725,678.124756
368,0,-0.491015,-0.787441,2.510386,-11.824429,90.531250,678.326111
369,0,-0.491325,-0.803361,2.515165,-12.606558,87.950096,677.887329
370,0,-0.489330,-0.816476,2.529086,-13.762736,84.401001,676.869507
