Objects
100
,,Global Angle right_hand:right_hand,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
178,0,-0.331504,-0.221980,2.847030,26.585415,111.561203,674.334473
179,0,-0.328570,-0.212434,2.845276,26.924171,112.169907,674.272339
180,0,-0.325204,-0.200100,2.844944,27.320148,112.825203,674.147278
181,0,-0.324547,-0.182997,2.843070,27.574280,113.170311,673.920654
182,0,-0.297671,-0.197821,2.823521,27.772699,113.219612,673.745422
183,0,-0.297033,-0.201729,2.826492,27.653152,113.259819,673.802917
184,0,-0.294929,-0.191996,2.820722,27.486288,112.603783,673.571838
185,0,-0.299488,-0.218559,2.825390,27.370853,112.413910,674.107178
186,0,-0.299517,-0.229118,2.825730,27.084097,111.816284,674.169067
187,0,-0.326035,-0.218652,2.839645,27.028067,111.631584,674.291077
188,0,-0.323724,-0.220393,2.844691,26.777132,111.346077,674.315918
189,0,-0.318725,-0.228911,2.835394,26.979921,111.464325,674.410217
190,0,-0.317126,-0.224435,2.833912,27.174740,111.760437,674.420166
191,0,-0.315072,-0.221295,2.832947,27.427675,112.175110,674.392090
192,0,-0.313236,-0.211699,2.832734,27.706902,112.605324,674.346252
193,0,-0.319067,-0.195448,2.842786,27.683901,112.801712,674.143555
194,0,-0.318760,-0.193224,2.842659,27.670557,112.861198,674.088745
195,0,-0.313642,-0.210215,2.832969,27.754477,112.727806,674.307678
196,0,-0.319451,-0.210564,2.841333,27.332088,112.235863,674.267273
197,0,-0.321267,-0.215172,2.841981,27.009048,111.728958,674.325317
198,0,-0.324078,-0.221105,2.844726,26.663204,111.243462,674.327820
199,0,-0.327217,-0.222804,2.846111,26.449139,110.952911,674.326294
200,0,-0.327147,-0.222742,2.845539,26.390629,110.886269,674.313660
201,0,-0.325211,-0.220712,2.845236,26.454416,111.042679,674.304810
202,0,-0.341118,-0.182472,2.861699,26.592047,111.032150,673.968933
203,0,-0.329203,-0.193148,2.852013,26.879087,111.521935,674.102173
204,0,-0.328142,-0.191203,2.851129,27.064932,111.738258,674.098877
205,0,-0.318227,-0.209685,2.840758,27.171116,111.953339,674.255615
206,0,-0.318875,-0.210879,2.841265,27.097788,111.743713,674.280945
207,0,-0.321291,-0.214597,2.843804,26.920265,111.346359,674.282166
208,0,-0.325967,-0.215677,2.846970,26.668356,110.899185,674.273682
209,0,-0.328205,-0.220545,2.846697,26.501080,110.558281,674.289490
210,0,-0.328473,-0.223754,2.845858,26.416674,110.405251,674.300354
211,0,-0.328277,-0.221389,2.846261,26.456484,110.533882,674.262817
212,0,-0.325494,-0.218096,2.844709,26.661098,110.825401,674.252930
213,0,-0.320481,-0.212837,2.845157,26.800497,111.228676,674.195251
214,0,-0.319572,-0.210505,2.843477,26.952555,111.514938,674.200989
215,0,-0.319635,-0.209317,2.842986,26.984877,111.566475,674.214844
216,0,-0.321864,-0.212151,2.844596,26.861259,111.336594,674.225159
217,0,-0.326226,-0.214623,2.846078,26.652855,110.918732,674.244568
218,0,-0.329595,-0.222001,2.844362,26.457901,110.411758,674.303284
219,0,-0.329245,-0.229650,2.840571,26.336693,109.910957,674.396362
220,0,-0.329336,-0.232641,2.841595,26.203611,109.598083,674.428955
221,0,-0.328408,-0.232747,2.841107,26.238148,109.439728,674.466553
222,0,-0.326458,-0.228998,2.841403,26.338955,109.462440,674.453186
223,0,-0.324296,-0.225710,2.841394,26.479454,109.569740,674.404663
224,0,-0.323813,-0.223824,2.841228,26.591963,109.661980,674.355347
225,0,-0.324273,-0.223148,2.841291,26.594158,109.664459,674.325989
226,0,-0.325555,-0.226338,2.840401,26.501202,109.492050,674.368042
227,0,-0.328290,-0.234678,2.838985,26.320324,109.177361,674.432495
228,0,-0.326463,-0.233550,2.837997,26.102209,108.705276,674.345886
229,0,-0.341458,-0.215805,2.850089,25.904137,108.214439,674.185425
230,0,-0.346282,-0.227675,2.849693,25.882521,108.204437,674.331543
231,0,-0.339672,-0.216039,2.849247,25.949512,108.201256,674.147400
232,0,-0.334904,-0.214559,2.847270,26.157818,108.506805,674.127502
233,0,-0.333156,-0.215530,2.846240,26.410364,109.028961,674.215027
234,0,-0.332055,-0.205545,2.848169,26.669365,109.467430,674.122009
235,0,-0.321321,-0.218709,2.838165,26.899321,109.988235,674.209717
